epoch,loss1,loss2,loss3,loss4,loss5,test_loss,acc,train_loss
1,2.354594,1.654587,1.379873,1.268718,1.488946,2.4595,0.2939,1.6293436,1.6293436
2,1.608154,1.224354,0.786753,0.810022,1.422029,3.5049,0.3074,1.1702624,1.1702624
3,1.163974,1.059832,1.026858,0.861914,0.58251,2.6076,0.3992,0.9390176,0.9390176
4,0.51189,0.486227,0.687406,1.255098,0.580046,1.7932,0.5215,0.7041334,0.7041334
5,0.597561,0.526853,0.604487,0.842374,0.399308,1.5124,0.593,0.5941166,0.5941166
6,0.37885,0.798698,0.435185,0.645419,0.798748,1.5957,0.5559,0.61138,0.61138
7,0.850608,0.321626,1.005025,1.058405,0.374616,1.1988,0.6871,0.722056,0.722056
8,0.992109,0.25319,0.285907,0.61603,0.372074,1.1159,0.69,0.503862,0.503862
9,0.134982,0.592256,1.255163,0.213848,0.765169,2.538,0.5086,0.5922836,0.5922836
10,0.211358,0.609064,0.624016,0.749174,0.917142,1.6462,0.577,0.6221508,0.6221508
11,0.893988,0.737145,0.22892,0.393725,0.792148,5.1079,0.372,0.6091852,0.6091852
12,0.861776,0.221723,0.644681,0.369052,0.651501,1.054,0.7004,0.5497466,0.5497466
13,0.804297,0.205766,0.30152,0.270804,0.166202,0.6295,0.8061,0.3497178,0.3497178
14,0.244223,0.308671,0.496181,0.590554,0.151129,0.622,0.8229,0.3581516,0.3581516
15,0.523759,0.541928,0.660946,0.364347,0.627382,2.0616,0.6067,0.5436724,0.5436724
16,0.113669,0.4675,0.060538,0.380867,0.741373,1.3133,0.7136,0.3527894,0.3527894
17,0.140838,0.216379,0.195919,0.628739,0.680734,1.337,0.6791,0.3725218,0.3725218
18,0.038305,0.178552,0.031784,0.043064,0.407211,1.9995,0.644,0.1397832,0.1397832
19,0.143717,0.49377,0.022687,0.144221,0.839446,1.7255,0.6834,0.3287682,0.3287682
20,0.307877,0.177566,0.267759,0.14205,0.617497,0.9567,0.7589,0.3025498,0.3025498
21,0.123707,0.517004,0.035044,0.348831,0.384947,1.0858,0.7623,0.2819066,0.2819066
22,0.020389,0.616179,0.030965,0.057278,0.22655,1.2576,0.7499,0.1902722,0.1902722
23,0.092886,0.345289,0.332992,0.249075,0.101459,0.5639,0.8542,0.2243402,0.2243402
24,0.188522,0.305426,0.141756,0.176864,0.553482,1.311,0.7321,0.27321,0.27321
25,0.197609,0.574977,0.229867,0.151431,0.532416,1.2138,0.7224,0.33726,0.33726
26,0.086239,0.141155,0.07354,0.198594,0.174917,0.8075,0.8076,0.134889,0.134889
27,0.141575,0.84944,0.17517,0.246628,0.278957,0.6196,0.846,0.338354,0.338354
28,0.132175,0.398441,0.173258,0.161952,0.108479,0.9929,0.8029,0.194861,0.194861
29,0.066034,0.090704,0.243349,0.073729,0.058851,0.5494,0.8635,0.1065334,0.1065334
30,0.015352,0.140188,0.220186,0.3223,0.065127,0.4185,0.8889,0.1526306,0.1526306
31,0.072595,0.118153,0.237164,0.016967,0.177942,1.1932,0.7822,0.1245642,0.1245642
32,0.422058,0.311065,0.019552,0.429395,0.013702,0.4045,0.8921,0.2391544,0.2391544
33,0.156152,0.071669,0.420769,0.083718,0.092638,0.4443,0.8868,0.1649892,0.1649892
34,0.133778,0.119146,0.009699,0.125604,0.429482,2.1244,0.6907,0.1635418,0.1635418
35,0.066736,0.072307,0.097488,0.020053,0.128674,0.5474,0.8737,0.0770516,0.0770516
36,0.574355,0.117602,0.613429,0.012518,0.019693,0.3525,0.9039,0.2675194,0.2675194
37,0.127399,0.004464,0.007539,0.75361,0.088284,0.5821,0.8682,0.1962592,0.1962592
38,0.011561,0.358013,0.046444,0.080923,0.259622,1.3518,0.7893,0.1513126,0.1513126
39,0.392422,0.237486,0.208419,0.166257,0.015978,0.3652,0.9075,0.2041124,0.2041124
40,0.023533,0.281408,0.113496,0.025919,0.118598,0.7833,0.8445,0.1125908,0.1125908
41,0.020025,0.014283,0.098802,0.147002,0.310306,0.6413,0.8642,0.1180836,0.1180836
42,0.030804,0.045432,0.055959,0.023997,0.024071,0.5553,0.8838,0.0360526,0.0360526
43,0.048541,0.003456,0.093165,0.078004,0.088727,1.4167,0.8189,0.0623786,0.0623786
